"Season","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1993","55035","174564","4030","20864","19596","3263","8.7%","15.1%",".138",".294",".265",".332",".403",".327","","97","0.0","-743.2","208.7","532.3"
"1994","38374","124483","3306","15752","14858","2258","8.9%","15.9%",".155",".300",".270",".339",".424",".333","","97","0.0","-557.0","211.5","375.3"
"1995","49777","156703","4081","19554","18436","2932","9.1%","16.2%",".150",".298",".267",".338",".417",".333","","96","0.2","-716.1","228.4","473.2"
"1996","55959","177261","4962","22831","21570","3240","9.1%","16.5%",".157",".301",".270",".340",".427",".335","","97","0.2","-780.1","301.2","531.8"
"1997","58107","175541","4640","21604","20468","3308","8.9%","17.1%",".152",".301",".267",".337",".419",".332","","96","0.4","-798.3","338.3","531.7"
"1998","62317","188284","5064","23297","22081","3284","8.7%","16.9%",".154",".300",".266",".335",".420",".331","","96","0.0","-909.9","539.5","570.9"
"1999","61966","189692","5528","24691","23461","3421","9.4%","16.4%",".163",".302",".271",".345",".434",".341","","96","0.0","-948.1","547.7","570.4"
"2000","62083","190261","5693","24971","23735","2924","9.6%","16.5%",".167",".300",".270",".345",".437",".341","","96","0.0","-1012.8","538.6","570.5"
"2001","61371","186976","5458","23199","22088","3103","8.5%","17.3%",".163",".296",".264",".332",".427",".327","","96","0.4","-935.1","469.1","570.0"
"2002","68340","186615","5059","22408","21332","2750","8.7%","16.8%",".155",".293",".261",".331",".417",".326","","96","-1.8","-861.5","347.1","569.1"
"2003","68519","187449","5207","22978","21886","2573","8.5%","16.4%",".158",".294",".264",".333",".422",".328","","96","-0.2","-895.0","386.9","570.0"
"2004","68880","188539","5451","23376","22248","2589","8.6%","16.9%",".162",".297",".266",".335",".428",".330","","96","0.3","-929.0","385.2","569.5"
"2005","68432","186294","5017","22326","21248","2565","8.2%","16.4%",".154",".295",".264",".330",".419",".326","","96","0.1","-834.6","349.3","570.2"
"2006","69333","188071","5386","23599","22491","2767","8.4%","16.8%",".163",".301",".269",".337",".432",".332","","96","-0.3","-935.6","437.3","569.8"
"2007","70143","188623","4957","23322","22257","2918","8.5%","17.1%",".155",".303",".268",".336",".423",".331","","97","0.9","-846.1","323.7","570.2"
"2008","69564","187631","4878","22585","21541","2799","8.7%","17.5%",".152",".300",".264",".333",".416",".328","","96","0.0","-864.0","335.0","569.5"
"2009","69035","187079","5042","22419","21364","2970","8.9%","18.0%",".155",".299",".262",".333",".418",".329","","96","1.9","-871.1","379.0","570.0"
"2010","68923","185553","4613","21308","20288","2959","8.5%","18.5%",".145",".297",".257",".325",".403",".321","","96","-0.7","-845.2","303.8","570.0"
"2011","68729","185245","4552","20808","19804","3279","8.1%","18.6%",".144",".295",".255",".321",".399",".316","","96","1.1","-759.9","279.0","569.8"
"2012","69521","184179","4934","21017","19998","3229","8.0%","19.8%",".151",".297",".255",".319",".405",".315","","96","1.0","-814.9","369.3","570.0"
"2013","69267","184872","4661","20255","19271","2693","7.9%","19.9%",".143",".297",".253",".318",".396",".314","","96","-1.0","-747.2","263.6","570.2"
"2014","69565","183928","4186","19761","18745","2764","7.6%","20.4%",".135",".299",".251",".314",".386",".310","","96","0.4","-759.7","281.6","570.0"
"2015","70535","183627","4909","20647","19650","2505","7.7%","20.4%",".150",".299",".254",".317",".405",".313","","97","-0.7","-751.2","282.7","569.8"
"2016","70449","184577","5610","21744","20746","2537","8.2%","21.1%",".162",".300",".255",".322",".417",".318","","97","-0.1","-770.4","281.0","569.5"
"2017","70745","185295","6105","22582","21558","2527","8.5%","21.6%",".171",".300",".255",".324",".426",".321","","96","-0.4","-852.8","341.8","570.0"
"2018","71590","185139","5585","21630","20606","2474","8.5%","22.3%",".161",".296",".248",".318",".409",".315","","97","1.0","-782.9","323.4","570.2"
"2019","71684","186516","6776","23467","22471","2280","8.5%","23.0%",".183",".298",".252",".323",".435",".320","","97","-2.0","-821.6","341.3","569.8"
"2020","26721","66506","2304","8344","7978","885","9.2%","23.4%",".173",".292",".245",".322",".418",".320","","100","0.3","4.2","-217.4","210.6"
"2021","71621","181817","5944","22010","20993","2213","8.7%","23.2%",".167",".292",".244",".317",".411",".314","","97","-0.5","-736.3","286.4","569.8"
