Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BIP
2021,30,1373,28.4,4.53,4858,37.43,33.33,4.53,8.13,5.15,1.62,0.14,1.22,4.32,0.46,0.15,3.25,8.68,.244,.317,.411,.728,13.69,0.69,0.43,0.16,0.24,0.14,23.67
2020,30,618,28.0,4.65,1796,37.03,32.87,4.65,8.04,5.06,1.57,0.13,1.28,4.44,0.49,0.16,3.39,8.68,.245,.322,.418,.740,13.73,0.69,0.46,0.07,0.22,0.11,23.13
2019,30,1287,27.9,4.83,4858,38.39,34.30,4.83,8.65,5.34,1.76,0.16,1.39,4.63,0.47,0.17,3.27,8.81,.252,.323,.435,.758,14.92,0.71,0.41,0.16,0.24,0.16,24.34
2018,30,1271,28.1,4.45,4862,38.08,34.03,4.45,8.44,5.42,1.70,0.17,1.15,4.24,0.51,0.20,3.23,8.48,.248,.318,.409,.728,13.93,0.71,0.40,0.17,0.25,0.19,24.65
2017,30,1229,28.3,4.65,4860,38.13,34.07,4.65,8.69,5.54,1.73,0.16,1.26,4.44,0.52,0.19,3.26,8.25,.255,.324,.426,.750,14.51,0.78,0.36,0.19,0.24,0.20,24.80
2016,30,1247,28.4,4.48,4856,38.01,34.09,4.48,8.71,5.67,1.70,0.18,1.16,4.27,0.52,0.21,3.11,8.03,.255,.322,.417,.739,14.23,0.77,0.34,0.21,0.25,0.19,25.15
2015,30,1252,28.4,4.25,4858,37.80,34.07,4.25,8.67,5.77,1.70,0.19,1.01,4.04,0.52,0.22,2.90,7.71,.254,.317,.405,.721,13.78,0.77,0.33,0.25,0.25,0.20,25.60
2014,30,1212,28.5,4.07,4860,37.85,34.08,4.07,8.56,5.86,1.67,0.17,0.86,3.86,0.57,0.21,2.88,7.70,.251,.314,.386,.700,13.17,0.74,0.34,0.28,0.26,0.20,25.78
2013,30,1202,28.5,4.17,4862,38.02,34.16,4.17,8.66,5.85,1.69,0.16,0.96,3.96,0.55,0.21,3.01,7.55,.253,.318,.396,.714,13.54,0.77,0.32,0.28,0.25,0.21,25.90
2012,30,1185,28.5,4.32,4860,37.90,34.00,4.32,8.65,5.74,1.70,0.19,1.02,4.11,0.66,0.23,3.03,7.50,.255,.319,.405,.724,13.78,0.74,0.31,0.30,0.25,0.22,25.73
