"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2002","Angels","99","102","99","86","99","99","99","100","100","98","98","100"
"2002","Orioles","97","100","93","84","102","98","100","100","102","100","102","101"
"2002","Red Sox","102","103","108","98","95","99","99","101","99","101","99","97"
"2002","White Sox","103","100","98","95","112","100","101","99","102","99","101","105"
"2002","Indians","99","100","101","86","98","101","101","101","95","100","99","99"
"2002","Tigers","97","103","95","125","90","96","99","101","102","102","104","97"
"2002","Royals","106","105","104","109","102","95","101","103","102","102","99","103"
"2002","Twins","102","101","104","113","95","103","100","100","99","99","99","98"
"2002","Yankees","99","99","96","85","103","100","98","98","101","99","101","100"
"2002","Athletics","98","97","98","90","102","100","100","99","101","100","101","100"
"2002","Mariners","94","96","94","87","95","102","102","97","101","97","101","98"
"2002","Devil Rays","99","100","102","109","98","101","100","100","101","100","103","100"
"2002","Rangers","106","102","104","114","107","98","100","101","100","103","99","103"
"2002","Blue Jays","103","99","107","97","103","100","102","101","99","100","101","102"
"2002","Diamondbacks","105","101","106","123","105","99","102","101","100","102","96","103"
"2002","Braves","99","100","97","93","99","99","99","98","100","102","96","100"
"2002","Cubs","98","99","96","87","102","102","101","99","100","98","100","100"
"2002","Reds","102","99","105","87","105","99","103","99","101","103","106","103"
"2002","Rockies","118","108","110","130","119","97","103","103","100","109","98","108"
"2002","Marlins","96","98","96","115","94","104","102","97","101","97","105","97"
"2002","Astros","104","100","100","119","105","100","98","100","100","99","97","101"
"2002","Dodgers","94","97","91","81","100","101","98","99","98","96","103","99"
"2002","Brewers","100","97","100","99","104","102","101","98","101","99","105","101"
"2002","Expos","103","99","107","95","104","99","99","102","98","102","97","102"
"2002","Mets","96","100","98","86","94","102","99","101","100","98","101","97"
"2002","Phillies","98","96","102","103","97","106","103","99","97","97","97","98"
"2002","Pirates","100","102","104","94","95","98","99","101","101","103","100","99"
"2002","Cardinals","98","99","99","92","96","101","102","99","101","99","101","98"
"2002","Padres","93","100","92","100","93","102","98","104","95","99","99","96"
"2002","Giants","96","100","99","119","89","98","97","102","97","100","95","95"
