"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2008","Angels","99","102","99","86","97","99","98","99","102","101","95","99"
"2008","Orioles","102","104","98","91","110","98","98","102","101","101","97","104"
"2008","Red Sox","104","100","115","96","94","98","99","101","100","102","100","97"
"2008","White Sox","104","99","99","84","113","101","104","99","101","99","102","105"
"2008","Indians","99","100","100","89","94","101","102","101","97","102","100","98"
"2008","Tigers","101","101","98","108","100","97","99","101","102","99","107","101"
"2008","Royals","102","103","107","112","94","97","101","102","100","102","92","99"
"2008","Twins","98","99","99","104","96","101","96","99","99","100","97","97"
"2008","Yankees","100","100","97","88","103","101","98","99","102","99","99","100"
"2008","Athletics","97","98","97","100","93","98","99","99","101","98","102","98"
"2008","Mariners","96","99","97","90","94","103","102","98","100","95","105","98"
"2008","Rays","97","98","96","112","99","100","100","98","100","99","107","99"
"2008","Rangers","103","101","102","114","105","100","101","100","99","103","100","102"
"2008","Blue Jays","100","96","100","116","106","103","99","100","99","100","97","101"
"2008","Diamondbacks","105","101","106","132","105","98","100","102","99","101","97","102"
"2008","Braves","98","101","96","98","98","102","101","99","99","104","98","99"
"2008","Cubs","105","101","103","100","106","101","100","100","101","99","97","102"
"2008","Reds","103","99","100","94","110","101","101","99","102","97","101","103"
"2008","Rockies","108","105","107","120","110","96","99","103","99","108","95","104"
"2008","Marlins","101","100","102","104","97","106","105","98","100","100","103","99"
"2008","Astros","98","99","99","106","104","102","99","100","100","99","99","101"
"2008","Dodgers","98","100","98","78","100","102","99","99","100","98","102","99"
"2008","Brewers","99","97","100","96","102","103","103","98","102","97","106","100"
"2008","Nationals","100","101","101","99","100","97","97","102","100","102","99","101"
"2008","Mets","97","99","98","87","96","100","100","101","100","96","102","99"
"2008","Phillies","101","100","99","91","106","100","99","101","97","101","98","101"
"2008","Pirates","99","102","104","94","94","97","98","102","100","105","98","99"
"2008","Cardinals","97","101","97","95","92","98","101","100","100","101","105","98"
"2008","Padres","92","96","89","100","91","104","102","98","99","96","99","97"
"2008","Giants","100","101","102","108","94","98","98","102","97","102","96","98"
