"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"1995","Angels","101","100","98","82","109","103","99","","","","","102"
"1995","Orioles","101","101","95","85","105","101","99","","","","","101"
"1995","Red Sox","103","103","111","103","97","100","101","","","","","99"
"1995","White Sox","96","100","95","104","94","97","98","","","","","98"
"1995","Indians","101","101","103","95","97","99","101","","","","","99"
"1995","Tigers","101","98","95","100","106","101","102","","","","","102"
"1995","Royals","102","102","105","125","95","94","98","","","","","101"
"1995","Twins","102","99","104","103","100","103","101","","","","","100"
"1995","Yankees","97","100","95","91","99","97","96","","","","","99"
"1995","Athletics","97","100","96","90","98","100","99","","","","","99"
"1995","Mariners","100","97","107","90","101","105","104","","","","","100"
"1995","Rangers","103","103","100","121","100","98","100","","","","","100"
"1995","Blue Jays","100","98","102","112","103","102","100","","","","","101"
"1995","Braves","101","101","99","92","104","97","99","","","","","102"
"1995","Cubs","101","101","97","96","106","101","101","","","","","102"
"1995","Reds","100","98","103","94","99","98","103","","","","","101"
"1995","Rockies","123","112","111","128","127","96","103","","","","","111"
"1995","Marlins","99","101","96","109","97","101","102","","","","","100"
"1995","Astros","94","97","99","99","91","104","95","","","","","95"
"1995","Dodgers","93","99","89","76","93","98","96","","","","","97"
"1995","Brewers","103","103","102","105","95","99","103","","","","","100"
"1995","Expos","101","99","107","107","95","99","103","","","","","99"
"1995","Mets","97","101","96","99","97","100","98","","","","","99"
"1995","Phillies","100","99","107","99","99","101","99","","","","","99"
"1995","Pirates","102","99","104","104","102","101","101","","","","","101"
"1995","Cardinals","98","99","103","93","95","99","99","","","","","98"
"1995","Padres","97","98","94","96","105","101","97","","","","","100"
"1995","Giants","97","98","97","87","99","103","101","","","","","99"
