"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"1996","Angels","100","99","97","87","106","103","99","","","","","101"
"1996","Orioles","99","100","94","83","103","100","97","","","","","100"
"1996","Red Sox","102","103","109","103","97","101","100","","","","","99"
"1996","White Sox","97","99","96","105","94","96","98","","","","","98"
"1996","Indians","101","101","103","95","97","99","101","","","","","99"
"1996","Tigers","101","98","95","98","108","102","103","","","","","103"
"1996","Royals","102","102","100","124","100","95","99","","","","","102"
"1996","Twins","101","100","103","105","101","102","101","","","","","100"
"1996","Yankees","98","100","98","91","98","98","96","","","","","98"
"1996","Athletics","97","100","96","93","97","99","99","","","","","99"
"1996","Mariners","100","97","106","90","102","105","105","","","","","101"
"1996","Rangers","103","103","100","121","100","98","100","","","","","100"
"1996","Blue Jays","99","98","102","102","100","102","101","","","","","100"
"1996","Braves","101","101","99","92","104","97","99","","","","","102"
"1996","Cubs","101","101","97","94","105","100","101","","","","","101"
"1996","Reds","100","97","104","99","98","98","104","","","","","101"
"1996","Rockies","123","112","111","128","127","96","103","","","","","111"
"1996","Marlins","98","100","95","111","96","100","101","","","","","99"
"1996","Astros","95","97","101","97","92","104","97","","","","","95"
"1996","Dodgers","92","98","89","75","93","99","95","","","","","97"
"1996","Brewers","103","103","102","102","96","98","103","","","","","100"
"1996","Expos","100","100","104","108","94","100","102","","","","","98"
"1996","Mets","97","100","96","102","96","101","99","","","","","99"
"1996","Phillies","101","99","107","104","100","101","101","","","","","100"
"1996","Pirates","102","99","105","105","102","101","101","","","","","100"
"1996","Cardinals","99","100","103","94","98","100","101","","","","","100"
"1996","Padres","94","97","93","88","102","102","97","","","","","99"
"1996","Giants","97","98","96","89","100","103","101","","","","","100"
