"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2009","Angels","99","101","98","85","97","99","98","100","101","100","96","99"
"2009","Orioles","102","103","100","93","109","99","99","102","101","100","97","104"
"2009","Red Sox","105","101","115","98","95","98","99","101","101","102","101","98"
"2009","White Sox","103","98","98","84","112","102","105","98","102","99","102","104"
"2009","Indians","99","101","100","87","96","101","101","101","98","103","100","99"
"2009","Tigers","102","101","99","114","102","97","98","100","102","98","103","101"
"2009","Royals","101","102","105","114","92","97","100","103","100","101","93","99"
"2009","Twins","98","99","99","104","96","101","96","99","99","100","97","97"
"2009","Yankees","103","100","97","85","110","100","101","100","100","98","100","104"
"2009","Athletics","97","98","96","100","93","99","100","99","100","100","101","98"
"2009","Mariners","96","99","96","87","96","104","102","98","100","96","105","98"
"2009","Rays","95","98","95","105","97","100","99","98","100","98","110","98"
"2009","Rangers","105","102","102","124","109","99","100","100","100","104","100","103"
"2009","Blue Jays","100","97","103","115","105","103","100","99","99","101","97","101"
"2009","Diamondbacks","105","101","107","130","103","98","99","101","100","101","97","102"
"2009","Braves","99","101","96","98","98","102","102","99","100","103","96","100"
"2009","Cubs","104","102","101","99","104","101","101","100","101","99","97","101"
"2009","Reds","102","99","99","97","110","101","100","99","102","97","103","103"
"2009","Rockies","110","104","109","120","112","96","99","102","100","107","95","105"
"2009","Marlins","101","100","102","102","97","106","105","99","99","99","104","98"
"2009","Astros","98","99","100","103","104","103","100","100","101","98","100","101"
"2009","Dodgers","97","100","97","78","98","101","98","100","100","97","104","98"
"2009","Brewers","99","98","100","96","103","102","103","99","101","99","102","101"
"2009","Nationals","100","101","101","99","100","97","97","102","100","102","99","101"
"2009","Mets","97","99","97","109","93","101","101","99","102","97","108","98"
"2009","Phillies","101","100","99","93","104","100","99","100","99","102","100","101"
"2009","Pirates","99","101","102","92","94","96","97","102","99","104","96","99"
"2009","Cardinals","97","101","96","93","91","98","100","100","100","101","102","97"
"2009","Padres","91","96","90","103","90","103","102","99","98","97","97","96"
"2009","Giants","98","101","102","108","93","99","97","102","96","103","98","97"
