"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2000","Angels","100","101","99","94","100","99","101","","","","","100"
"2000","Orioles","96","100","91","85","101","99","99","","","","","100"
"2000","Red Sox","101","103","106","100","94","101","98","","","","","96"
"2000","White Sox","101","100","98","94","105","98","101","","","","","103"
"2000","Indians","103","102","102","90","105","101","100","","","","","102"
"2000","Tigers","97","103","95","125","90","96","99","","","","","97"
"2000","Royals","106","105","102","116","106","97","100","","","","","103"
"2000","Twins","102","100","107","116","95","102","102","","","","","98"
"2000","Yankees","98","98","98","85","101","100","99","","","","","100"
"2000","Athletics","98","98","97","94","99","99","99","","","","","99"
"2000","Mariners","96","98","95","88","96","101","102","","","","","98"
"2000","Devil Rays","101","100","103","107","101","101","99","","","","","100"
"2000","Rangers","104","102","103","115","105","98","100","","","","","103"
"2000","Blue Jays","102","98","107","91","99","99","101","","","","","100"
"2000","Diamondbacks","102","102","103","127","101","97","99","","","","","101"
"2000","Braves","99","100","99","97","98","98","97","","","","","99"
"2000","Cubs","98","99","98","88","101","101","101","","","","","100"
"2000","Reds","102","99","105","87","105","99","103","","","","","103"
"2000","Rockies","123","111","109","126","126","97","104","","","","","111"
"2000","Marlins","96","98","99","115","93","103","102","","","","","97"
"2000","Astros","104","100","100","119","105","100","98","","","","","101"
"2000","Dodgers","93","98","91","80","99","100","98","","","","","99"
"2000","Brewers","100","102","98","98","95","97","101","","","","","100"
"2000","Expos","100","99","105","95","100","100","99","","","","","100"
"2000","Mets","96","99","95","95","95","102","98","","","","","97"
"2000","Phillies","100","97","103","109","98","105","103","","","","","98"
"2000","Pirates","101","97","104","108","102","102","100","","","","","99"
"2000","Cardinals","99","99","98","91","102","101","103","","","","","102"
"2000","Padres","93","99","90","94","93","104","97","","","","","96"
"2000","Giants","96","100","99","119","89","98","97","","","","","95"
