"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"1994","Angels","101","100","97","84","107","102","99","","","","","101"
"1994","Orioles","101","100","96","92","104","100","100","","","","","101"
"1994","Red Sox","104","104","112","102","98","100","101","","","","","99"
"1994","White Sox","96","100","92","99","95","96","98","","","","","99"
"1994","Indians","101","101","103","95","97","99","101","","","","","99"
"1994","Tigers","101","98","97","98","107","102","101","","","","","102"
"1994","Royals","101","102","107","124","90","94","97","","","","","99"
"1994","Twins","102","99","104","109","102","103","102","","","","","100"
"1994","Yankees","98","100","96","88","101","97","98","","","","","100"
"1994","Athletics","96","98","93","92","98","102","99","","","","","99"
"1994","Mariners","100","97","109","92","101","105","103","","","","","100"
"1994","Rangers","103","103","100","121","100","98","100","","","","","100"
"1994","Blue Jays","100","98","103","111","105","102","101","","","","","101"
"1994","Braves","101","101","99","92","104","97","99","","","","","102"
"1994","Cubs","100","100","99","103","103","101","101","","","","","101"
"1994","Reds","100","97","101","93","100","98","103","","","","","101"
"1994","Rockies","114","106","104","163","106","97","103","","","","","104"
"1994","Marlins","99","101","96","109","97","101","102","","","","","100"
"1994","Astros","94","98","99","94","91","105","98","","","","","96"
"1994","Dodgers","93","100","90","80","90","99","96","","","","","96"
"1994","Brewers","101","102","99","100","93","98","102","","","","","99"
"1994","Expos","102","98","107","106","96","98","102","","","","","99"
"1994","Mets","97","101","95","99","98","100","98","","","","","99"
"1994","Phillies","100","99","104","103","99","102","100","","","","","99"
"1994","Pirates","102","100","105","101","99","101","102","","","","","100"
"1994","Cardinals","99","100","102","100","96","99","99","","","","","99"
"1994","Padres","99","100","95","95","109","100","100","","","","","102"
"1994","Giants","97","98","98","89","99","101","99","","","","","100"
