"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2015","Angels","97","100","96","88","98","102","97","101","100","98","100","98"
"2015","Orioles","101","101","96","87","106","98","100","101","102","100","100","103"
"2015","Red Sox","104","103","112","103","95","99","99","102","97","103","101","98"
"2015","White Sox","99","98","95","93","105","102","103","98","101","98","105","102"
"2015","Indians","102","101","106","83","102","100","100","101","97","101","92","100"
"2015","Tigers","102","101","99","123","101","96","100","100","104","101","105","102"
"2015","Royals","102","101","105","114","92","97","99","100","101","101","95","98"
"2015","Twins","102","103","103","104","101","98","99","102","101","102","100","101"
"2015","Yankees","101","99","95","83","112","101","100","98","102","98","102","104"
"2015","Athletics","98","99","102","113","94","98","99","100","102","100","105","98"
"2015","Mariners","96","98","96","85","99","103","99","97","102","97","107","98"
"2015","Rays","97","99","94","100","96","103","100","98","100","100","104","98"
"2015","Rangers","105","103","100","109","101","98","104","100","100","103","98","102"
"2015","Blue Jays","101","97","108","97","103","100","99","99","99","100","98","101"
"2015","Diamondbacks","105","100","106","127","104","100","100","101","100","101","93","101"
"2015","Braves","99","100","98","96","94","103","102","98","100","101","99","97"
"2015","Cubs","100","100","100","103","101","101","102","100","99","101","97","100"
"2015","Reds","101","98","100","91","108","104","102","98","100","98","102","102"
"2015","Rockies","116","109","109","132","110","95","102","107","99","107","90","107"
"2015","Marlins","97","99","98","108","90","99","101","101","99","97","95","97"
"2015","Astros","97","98","96","109","102","103","99","100","98","98","100","99"
"2015","Dodgers","96","97","99","77","100","100","94","99","100","96","102","98"
"2015","Brewers","102","99","101","96","108","101","101","99","100","101","97","103"
"2015","Nationals","101","104","102","81","97","99","100","100","102","101","98","99"
"2015","Mets","95","95","96","86","99","102","101","97","101","98","110","100"
"2015","Phillies","100","98","97","95","111","104","101","99","101","97","108","103"
"2015","Pirates","98","102","99","96","92","97","99","102","98","104","99","98"
"2015","Cardinals","97","100","99","96","95","97","98","100","101","101","103","99"
"2015","Padres","95","98","96","96","96","101","100","100","98","99","97","98"
"2015","Giants","96","100","99","122","86","100","101","101","97","98","98","95"
