"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"1999","Angels","102","101","100","90","104","100","100","","","","","102"
"1999","Orioles","97","100","91","84","101","100","98","","","","","100"
"1999","Red Sox","101","103","106","104","94","101","99","","","","","97"
"1999","White Sox","100","99","99","100","102","99","100","","","","","101"
"1999","Indians","102","103","101","93","103","100","101","","","","","101"
"1999","Tigers","101","97","94","100","109","101","103","","","","","103"
"1999","Royals","104","104","99","120","104","97","99","","","","","102"
"1999","Twins","103","101","107","110","97","103","100","","","","","99"
"1999","Yankees","97","98","98","87","101","99","98","","","","","100"
"1999","Athletics","98","99","97","91","98","98","99","","","","","100"
"1999","Mariners","96","98","95","88","96","101","102","","","","","98"
"1999","Devil Rays","101","100","103","107","101","101","99","","","","","100"
"1999","Rangers","103","102","102","118","103","97","101","","","","","102"
"1999","Blue Jays","101","98","106","96","97","99","101","","","","","99"
"1999","Diamondbacks","102","102","103","127","101","97","99","","","","","101"
"1999","Braves","99","101","98","99","97","99","99","","","","","99"
"1999","Cubs","100","101","97","90","102","101","101","","","","","101"
"1999","Reds","101","98","104","92","103","99","103","","","","","102"
"1999","Rockies","122","112","109","122","123","96","103","","","","","110"
"1999","Marlins","96","98","97","111","94","103","102","","","","","98"
"1999","Astros","94","97","102","101","90","105","97","","","","","94"
"1999","Dodgers","93","98","92","80","98","99","97","","","","","99"
"1999","Brewers","100","102","98","98","95","97","101","","","","","100"
"1999","Expos","100","99","105","97","99","100","99","","","","","100"
"1999","Mets","96","99","97","95","94","102","99","","","","","97"
"1999","Phillies","101","98","107","110","98","104","103","","","","","99"
"1999","Pirates","101","97","104","108","102","102","100","","","","","99"
"1999","Cardinals","99","99","98","91","102","100","103","","","","","102"
"1999","Padres","93","97","91","91","96","104","96","","","","","96"
"1999","Giants","96","97","95","90","99","104","100","","","","","99"
