"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2007","Angels","100","101","101","91","98","98","98","100","102","98","96","99"
"2007","Orioles","100","103","97","91","107","98","100","102","102","100","99","103"
"2007","Red Sox","103","99","116","99","94","98","99","101","99","101","100","97"
"2007","White Sox","103","99","97","85","112","101","103","99","100","100","101","105"
"2007","Indians","98","100","99","82","94","100","102","101","97","101","102","98"
"2007","Tigers","101","101","98","114","100","98","100","100","102","100","105","101"
"2007","Royals","102","102","108","104","93","96","102","102","100","102","95","99"
"2007","Twins","98","99","99","104","96","101","96","99","99","100","97","97"
"2007","Yankees","100","100","97","88","103","101","98","99","102","99","99","100"
"2007","Athletics","97","98","98","96","95","97","99","100","101","100","103","99"
"2007","Mariners","97","100","97","89","96","104","102","99","101","96","104","98"
"2007","Devil Rays","99","99","96","111","98","101","100","99","100","99","105","99"
"2007","Rangers","103","101","102","122","106","100","100","100","100","102","97","102"
"2007","Blue Jays","100","97","102","116","105","103","99","100","98","100","98","101"
"2007","Diamondbacks","106","101","106","128","105","97","101","102","100","101","97","103"
"2007","Braves","99","101","98","101","97","101","102","99","100","104","99","99"
"2007","Cubs","104","100","103","99","105","101","99","100","100","99","98","101"
"2007","Reds","104","99","102","90","111","101","101","99","102","99","99","104"
"2007","Rockies","108","106","106","118","107","96","100","104","98","109","96","104"
"2007","Marlins","99","99","100","106","97","105","104","98","100","99","102","99"
"2007","Astros","99","100","98","102","105","102","99","100","100","100","99","101"
"2007","Dodgers","97","99","98","79","100","102","99","99","99","97","98","99"
"2007","Brewers","99","96","99","99","101","103","103","98","100","97","104","100"
"2007","Nationals","96","98","98","102","91","100","97","98","102","97","107","97"
"2007","Mets","97","99","98","87","96","100","100","101","100","96","102","99"
"2007","Phillies","103","101","100","94","107","99","98","101","98","103","98","102"
"2007","Pirates","99","103","104","95","94","98","98","101","100","106","98","99"
"2007","Cardinals","97","101","97","95","92","98","101","100","100","101","105","98"
"2007","Padres","91","97","90","101","90","104","100","98","99","97","100","96"
"2007","Giants","100","101","101","110","94","98","98","102","98","100","97","98"
