"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"1998","Angels","100","100","99","87","105","101","99","","","","","101"
"1998","Orioles","97","100","91","85","101","100","98","","","","","100"
"1998","Red Sox","102","103","107","105","95","101","99","","","","","98"
"1998","White Sox","98","99","97","100","98","97","99","","","","","100"
"1998","Indians","102","102","102","98","100","100","102","","","","","100"
"1998","Tigers","101","97","94","100","109","101","103","","","","","103"
"1998","Royals","102","103","98","124","103","96","99","","","","","102"
"1998","Twins","103","101","107","109","99","102","101","","","","","99"
"1998","Yankees","98","99","98","87","99","99","99","","","","","99"
"1998","Athletics","99","100","98","95","98","98","98","","","","","99"
"1998","Mariners","100","97","106","90","102","105","105","","","","","101"
"1998","Devil Rays","101","100","103","107","101","101","99","","","","","100"
"1998","Rangers","104","102","101","117","104","98","101","","","","","102"
"1998","Blue Jays","100","98","106","98","98","100","100","","","","","99"
"1998","Diamondbacks","102","102","103","127","101","97","99","","","","","101"
"1998","Braves","99","101","98","99","97","99","99","","","","","99"
"1998","Cubs","101","101","98","93","103","101","101","","","","","101"
"1998","Reds","102","97","104","99","102","99","104","","","","","102"
"1998","Rockies","124","113","111","122","126","96","104","","","","","111"
"1998","Marlins","96","98","96","108","93","101","102","","","","","98"
"1998","Astros","94","97","102","101","90","105","97","","","","","94"
"1998","Dodgers","93","98","90","78","97","99","96","","","","","98"
"1998","Brewers","100","102","98","98","95","97","101","","","","","100"
"1998","Expos","100","99","103","105","98","99","100","","","","","100"
"1998","Mets","96","99","96","92","94","101","99","","","","","97"
"1998","Phillies","101","99","108","111","98","104","103","","","","","99"
"1998","Pirates","101","97","104","108","102","102","100","","","","","99"
"1998","Cardinals","99","99","99","89","102","100","103","","","","","102"
"1998","Padres","94","99","92","90","98","103","95","","","","","97"
"1998","Giants","96","97","95","90","99","104","100","","","","","99"
