"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2003","Angels","98","101","99","91","97","99","99","100","100","98","98","99"
"2003","Orioles","97","100","95","85","101","98","102","100","102","100","102","102"
"2003","Red Sox","102","100","110","95","97","99","100","101","99","101","99","98"
"2003","White Sox","102","99","98","92","113","100","101","99","102","99","101","105"
"2003","Indians","98","99","101","80","96","102","101","101","95","100","99","98"
"2003","Tigers","97","103","93","131","93","97","100","101","102","102","104","99"
"2003","Royals","105","104","104","105","100","95","101","103","102","102","99","102"
"2003","Twins","101","100","102","106","95","103","99","100","99","99","99","97"
"2003","Yankees","99","100","95","88","103","100","97","98","101","99","101","100"
"2003","Athletics","99","98","100","89","101","99","100","99","101","100","101","101"
"2003","Mariners","95","98","95","88","96","102","101","97","101","97","101","98"
"2003","Devil Rays","99","101","100","110","96","102","100","100","101","100","103","99"
"2003","Rangers","106","102","103","122","107","98","99","101","100","103","99","103"
"2003","Blue Jays","103","100","106","99","105","100","101","101","99","100","101","102"
"2003","Diamondbacks","105","100","106","124","106","99","102","101","100","102","96","103"
"2003","Braves","100","100","98","97","99","99","99","98","100","102","96","99"
"2003","Cubs","100","98","98","91","104","102","101","99","100","98","100","101"
"2003","Reds","101","98","100","78","109","100","99","98","102","100","103","103"
"2003","Rockies","115","108","109","130","114","97","103","103","100","109","98","107"
"2003","Marlins","96","98","96","114","93","105","103","97","101","97","105","97"
"2003","Astros","102","101","97","111","104","100","98","100","100","99","97","101"
"2003","Dodgers","94","97","93","79","101","101","99","99","98","96","103","99"
"2003","Brewers","100","97","100","99","104","102","101","98","101","99","105","101"
"2003","Expos","103","99","107","95","104","99","99","102","98","102","97","102"
"2003","Mets","97","101","98","88","95","101","100","101","100","98","101","98"
"2003","Phillies","98","96","102","103","97","106","103","99","97","97","97","98"
"2003","Pirates","100","102","104","94","95","98","99","101","101","103","100","99"
"2003","Cardinals","98","100","100","90","96","100","100","99","101","99","101","98"
"2003","Padres","93","100","92","100","93","102","98","104","95","99","99","96"
"2003","Giants","97","101","99","124","89","98","98","102","97","100","95","96"
