"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"1997","Angels","99","99","98","89","105","102","100","","","","","101"
"1997","Orioles","98","101","93","84","102","100","98","","","","","100"
"1997","Red Sox","102","103","109","102","96","101","99","","","","","98"
"1997","White Sox","97","99","96","105","94","97","99","","","","","98"
"1997","Indians","101","102","102","96","98","100","101","","","","","99"
"1997","Tigers","101","97","94","100","109","101","103","","","","","103"
"1997","Royals","101","102","98","121","101","95","99","","","","","102"
"1997","Twins","102","100","106","107","101","103","101","","","","","100"
"1997","Yankees","97","100","98","89","97","98","98","","","","","99"
"1997","Athletics","98","100","97","92","97","98","98","","","","","99"
"1997","Mariners","100","97","106","90","102","105","105","","","","","101"
"1997","Rangers","104","103","100","121","103","98","101","","","","","102"
"1997","Blue Jays","100","98","105","100","98","101","101","","","","","99"
"1997","Braves","99","101","98","99","97","99","99","","","","","99"
"1997","Cubs","103","102","100","96","106","101","102","","","","","102"
"1997","Reds","100","97","103","98","100","98","104","","","","","101"
"1997","Rockies","123","112","111","128","127","96","103","","","","","111"
"1997","Marlins","96","99","95","110","93","101","101","","","","","98"
"1997","Astros","94","97","102","101","90","105","97","","","","","94"
"1997","Dodgers","93","99","90","76","94","98","96","","","","","98"
"1997","Brewers","102","103","101","99","96","96","102","","","","","100"
"1997","Expos","100","99","104","108","94","100","102","","","","","99"
"1997","Mets","96","100","96","99","95","101","99","","","","","98"
"1997","Phillies","102","99","106","105","101","103","102","","","","","100"
"1997","Pirates","102","98","105","105","102","102","101","","","","","100"
"1997","Cardinals","99","100","101","90","100","99","101","","","","","101"
"1997","Padres","94","99","92","90","99","102","96","","","","","98"
"1997","Giants","96","98","95","90","99","104","100","","","","","99"
