"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2013","Angels","95","100","96","91","93","102","97","100","99","97","97","97"
"2013","Orioles","103","101","99","86","108","99","100","100","101","101","99","104"
"2013","Red Sox","105","103","114","105","96","100","100","101","97","105","102","98"
"2013","White Sox","102","99","97","91","108","103","107","98","102","99","104","103"
"2013","Indians","100","100","103","81","101","101","99","101","97","101","95","100"
"2013","Tigers","101","101","98","126","98","95","99","101","103","98","102","100"
"2013","Royals","101","101","103","114","93","96","99","102","101","101","96","99"
"2013","Twins","101","102","101","106","98","98","99","101","99","103","101","100"
"2013","Yankees","101","100","97","84","110","101","101","99","102","99","102","103"
"2013","Athletics","97","99","100","105","93","97","101","99","102","100","108","98"
"2013","Mariners","96","98","96","85","99","103","99","97","102","97","107","98"
"2013","Rays","96","99","95","98","96","102","100","98","101","98","108","98"
"2013","Rangers","106","103","101","110","105","98","102","101","101","103","96","103"
"2013","Blue Jays","102","97","108","105","106","102","99","99","101","101","99","101"
"2013","Diamondbacks","104","99","105","120","102","100","99","100","99","99","96","100"
"2013","Braves","99","100","99","93","96","103","101","99","100","101","97","97"
"2013","Cubs","100","99","99","102","102","101","102","100","100","99","99","101"
"2013","Reds","102","99","98","92","113","103","101","99","100","99","101","103"
"2013","Rockies","117","110","108","128","113","95","102","106","99","109","94","108"
"2013","Marlins","98","99","100","109","89","99","100","100","100","99","96","97"
"2013","Astros","100","99","100","108","105","103","101","100","99","98","100","101"
"2013","Dodgers","96","98","98","78","102","100","96","99","100","97","106","99"
"2013","Brewers","104","99","100","102","112","101","102","99","101","102","96","104"
"2013","Nationals","100","104","102","84","97","97","98","100","101","101","99","99"
"2013","Mets","95","96","95","85","102","102","101","97","101","98","108","100"
"2013","Phillies","100","98","99","92","107","103","102","99","101","97","104","102"
"2013","Pirates","96","101","99","89","90","96","96","102","98","101","97","97"
"2013","Cardinals","98","100","99","95","94","98","99","100","101","100","101","99"
"2013","Padres","95","98","96","96","96","101","100","100","98","99","97","98"
"2013","Giants","92","99","97","115","84","100","100","101","95","98","96","94"
