"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2001","Angels","99","101","101","89","99","99","100","","","","","100"
"2001","Orioles","96","101","91","85","101","99","101","","","","","101"
"2001","Red Sox","102","103","106","102","94","99","99","","","","","97"
"2001","White Sox","101","99","98","94","108","99","100","","","","","103"
"2001","Indians","100","101","100","88","103","102","100","","","","","101"
"2001","Tigers","97","103","95","125","90","96","99","","","","","97"
"2001","Royals","107","106","104","110","105","95","101","","","","","103"
"2001","Twins","102","100","107","116","96","102","101","","","","","98"
"2001","Yankees","98","98","96","86","102","100","99","","","","","100"
"2001","Athletics","98","98","98","92","100","99","99","","","","","100"
"2001","Mariners","96","98","95","88","96","101","102","","","","","98"
"2001","Devil Rays","100","100","103","111","97","102","100","","","","","99"
"2001","Rangers","105","102","103","112","106","98","100","","","","","103"
"2001","Blue Jays","102","99","108","92","101","99","101","","","","","101"
"2001","Diamondbacks","104","101","105","129","101","98","101","","","","","101"
"2001","Braves","98","100","97","94","98","97","98","","","","","99"
"2001","Cubs","98","99","97","87","100","103","101","","","","","100"
"2001","Reds","102","99","105","87","105","99","103","","","","","103"
"2001","Rockies","120","109","110","132","125","97","103","","","","","110"
"2001","Marlins","96","99","97","119","91","104","102","","","","","97"
"2001","Astros","104","100","100","119","105","100","98","","","","","101"
"2001","Dodgers","94","97","91","80","101","100","98","","","","","99"
"2001","Brewers","100","97","100","99","104","102","101","","","","","101"
"2001","Expos","105","99","108","97","105","99","99","","","","","102"
"2001","Mets","96","99","97","89","95","102","99","","","","","97"
"2001","Phillies","98","96","102","103","97","106","103","","","","","98"
"2001","Pirates","100","102","104","94","95","98","99","","","","","99"
"2001","Cardinals","98","99","98","87","99","100","101","","","","","100"
"2001","Padres","93","100","92","100","93","102","98","","","","","96"
"2001","Giants","96","100","99","119","89","98","97","","","","","95"
