"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2004","Angels","97","101","98","92","94","100","99","100","100","98","98","98"
"2004","Orioles","98","101","95","83","103","97","101","100","102","100","102","103"
"2004","Red Sox","102","100","111","94","94","99","100","101","99","101","99","97"
"2004","White Sox","102","99","97","91","113","100","101","99","102","99","101","105"
"2004","Indians","97","98","101","82","93","101","101","101","95","100","99","97"
"2004","Tigers","97","103","93","123","94","98","99","101","102","102","104","99"
"2004","Royals","105","103","105","104","99","95","102","103","102","102","99","102"
"2004","Twins","100","100","101","109","95","103","98","100","99","99","99","97"
"2004","Yankees","98","100","95","87","101","100","96","98","101","99","101","99"
"2004","Athletics","99","99","101","91","100","98","99","99","101","100","101","100"
"2004","Mariners","96","97","95","93","96","103","103","97","101","97","101","98"
"2004","Devil Rays","99","100","98","109","98","102","102","100","101","100","103","100"
"2004","Rangers","107","101","104","114","108","99","100","101","100","103","99","103"
"2004","Blue Jays","103","99","105","104","107","101","100","101","99","100","101","102"
"2004","Diamondbacks","106","101","106","127","106","99","104","101","100","102","96","103"
"2004","Braves","99","100","99","97","98","100","99","98","100","102","96","99"
"2004","Cubs","101","98","100","99","107","102","100","99","100","98","100","102"
"2004","Reds","101","98","100","78","109","100","99","98","102","100","103","103"
"2004","Rockies","112","108","107","126","112","97","102","103","100","109","98","106"
"2004","Marlins","96","98","96","113","93","104","104","97","101","97","105","97"
"2004","Astros","101","101","97","109","105","99","98","100","100","99","97","101"
"2004","Dodgers","96","98","94","77","104","101","99","99","98","96","103","100"
"2004","Brewers","100","96","101","104","103","102","102","98","101","99","105","101"
"2004","Expos","103","99","107","95","104","99","99","102","98","102","97","102"
"2004","Mets","97","101","99","87","95","100","100","101","100","98","101","98"
"2004","Phillies","102","100","99","97","109","99","98","101","98","103","98","103"
"2004","Pirates","100","103","105","97","95","98","99","101","101","103","100","99"
"2004","Cardinals","98","100","100","90","96","100","100","99","101","99","101","98"
"2004","Padres","92","97","91","107","90","103","99","98","99","96","98","96"
"2004","Giants","99","101","100","118","90","98","98","102","97","100","95","96"
