"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2010","Angels","96","100","96","87","96","99","96","99","100","100","96","98"
"2010","Orioles","103","102","101","89","110","99","99","101","100","100","97","104"
"2010","Red Sox","105","101","116","100","97","99","100","101","100","103","103","99"
"2010","White Sox","105","98","99","89","113","102","107","98","102","99","101","105"
"2010","Indians","97","100","101","83","94","101","100","101","98","103","102","98"
"2010","Tigers","102","102","99","113","101","97","97","101","103","96","104","101"
"2010","Royals","101","103","103","115","93","97","100","103","100","100","92","99"
"2010","Twins","101","102","102","110","94","98","100","101","99","103","101","99"
"2010","Yankees","103","100","97","85","110","100","101","100","100","98","100","104"
"2010","Athletics","97","98","96","98","94","99","100","98","101","101","103","98"
"2010","Mariners","94","99","94","88","92","103","102","98","99","98","104","97"
"2010","Rays","95","98","95","107","95","100","99","97","100","99","110","97"
"2010","Rangers","107","102","104","118","110","99","101","100","101","103","99","104"
"2010","Blue Jays","101","98","103","117","104","102","99","100","100","100","98","101"
"2010","Diamondbacks","106","101","108","121","104","99","98","101","99","100","96","101"
"2010","Braves","100","101","99","99","97","102","102","100","100","103","95","99"
"2010","Cubs","103","101","100","99","102","100","101","100","101","98","100","101"
"2010","Reds","102","99","97","100","111","101","100","99","101","98","102","103"
"2010","Rockies","113","106","108","123","114","96","100","104","99","108","94","106"
"2010","Marlins","101","100","102","102","97","106","105","99","99","99","104","98"
"2010","Astros","99","99","100","100","104","102","101","100","100","98","99","101"
"2010","Dodgers","95","99","96","77","98","101","97","99","100","97","105","98"
"2010","Brewers","100","98","100","104","106","103","102","98","102","99","101","102"
"2010","Nationals","100","101","101","99","100","97","97","102","100","102","99","101"
"2010","Mets","97","99","97","109","93","101","101","99","102","97","108","98"
"2010","Phillies","100","99","100","92","102","101","100","99","99","101","100","100"
"2010","Pirates","97","100","101","93","92","95","97","102","100","102","97","98"
"2010","Cardinals","97","100","97","92","92","99","100","100","99","101","100","98"
"2010","Padres","92","97","93","105","89","103","103","100","98","97","97","97"
"2010","Giants","96","99","100","102","91","99","98","101","96","100","99","97"
