"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2020","Angels","101","100","97","90","105","101","100","100","100","101","98","102"
"2020","Orioles","102","101","97","90","111","98","101","102","104","98","103","106"
"2020","Red Sox","105","102","114","104","97","99","100","102","99","102","99","99"
"2020","White Sox","99","98","93","85","108","101","101","98","103","95","104","103"
"2020","Indians","100","100","101","91","101","100","99","102","95","100","93","99"
"2020","Tigers","100","102","101","131","97","97","99","100","104","104","108","100"
"2020","Royals","102","103","107","111","92","96","99","102","100","105","97","98"
"2020","Twins","100","100","104","102","99","100","102","100","101","100","100","100"
"2020","Yankees","99","100","92","86","105","100","101","98","101","98","104","102"
"2020","Athletics","96","98","102","100","94","100","100","99","99","103","102","98"
"2020","Mariners","96","98","93","84","98","103","99","98","101","94","101","98"
"2020","Rays","95","97","95","101","93","102","100","97","98","96","100","96"
"2020","Rangers","99","101","99","94","97","100","101","100","102","102","99","100"
"2020","Blue Jays","104","102","104","108","100","101","99","102","100","103","99","99"
"2020","Diamondbacks","102","103","103","124","95","100","100","101","99","104","97","98"
"2020","Braves","102","101","102","93","98","100","99","100","98","102","98","99"
"2020","Cubs","101","100","99","113","100","99","100","100","99","102","95","100"
"2020","Reds","105","99","102","94","112","104","103","98","100","101","104","104"
"2020","Rockies","113","107","112","144","109","96","100","106","99","103","90","105"
"2020","Marlins","95","101","95","107","91","100","100","101","98","101","98","97"
"2020","Astros","98","98","94","97","101","101","99","100","97","100","101","99"
"2020","Dodgers","97","98","98","75","106","100","94","98","101","97","104","100"
"2020","Brewers","101","98","98","96","103","102","102","97","101","98","104","100"
"2020","Nationals","101","102","104","90","104","99","99","99","102","99","99","101"
"2020","Mets","93","96","92","84","96","102","98","96","102","94","105","97"
"2020","Phillies","101","99","97","102","108","103","100","99","102","98","106","103"
"2020","Pirates","99","101","107","94","94","98","103","102","101","99","96","100"
"2020","Cardinals","95","101","96","94","93","97","97","101","99","103","102","97"
"2020","Padres","96","98","98","90","96","101","103","100","96","101","98","99"
"2020","Giants","96","101","101","112","89","100","99","101","97","100","101","95"
