"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2012","Angels","95","100","96","88","92","101","97","100","99","99","97","96"
"2012","Orioles","102","101","100","86","107","99","101","101","100","99","100","104"
"2012","Red Sox","104","102","114","100","95","100","101","102","98","105","102","98"
"2012","White Sox","104","99","99","90","111","102","107","97","102","98","104","104"
"2012","Indians","97","99","101","83","101","101","98","101","98","100","95","100"
"2012","Tigers","102","102","98","123","100","95","99","101","103","98","103","101"
"2012","Royals","101","101","101","118","95","97","99","102","101","101","95","99"
"2012","Twins","101","102","102","110","94","98","100","101","99","103","101","99"
"2012","Yankees","103","100","98","85","111","100","100","99","101","98","100","104"
"2012","Athletics","97","99","99","107","92","99","101","99","101","101","107","98"
"2012","Mariners","94","99","94","88","92","103","102","98","99","98","104","97"
"2012","Rays","95","98","95","103","95","101","100","98","101","99","110","98"
"2012","Rangers","106","102","100","110","106","98","101","100","101","102","98","103"
"2012","Blue Jays","103","99","107","106","109","102","99","99","102","102","100","102"
"2012","Diamondbacks","104","99","104","122","104","100","98","100","100","99","96","101"
"2012","Braves","99","100","99","94","99","103","100","98","99","102","96","98"
"2012","Cubs","102","101","101","103","101","102","102","100","100","100","98","100"
"2012","Reds","101","99","97","98","113","103","100","99","100","98","102","103"
"2012","Rockies","117","108","109","126","116","95","100","106","100","109","95","108"
"2012","Marlins","98","99","100","109","89","99","100","100","100","99","96","97"
"2012","Astros","100","98","100","107","105","103","101","100","100","98","100","101"
"2012","Dodgers","96","99","98","75","102","100","98","100","100","98","108","100"
"2012","Brewers","103","100","100","97","111","101","103","98","101","103","98","104"
"2012","Nationals","100","104","102","87","97","98","97","101","100","103","97","99"
"2012","Mets","95","96","95","85","102","102","101","97","101","98","108","100"
"2012","Phillies","100","98","100","94","107","102","101","99","101","97","102","102"
"2012","Pirates","97","101","101","93","88","95","96","102","99","100","99","97"
"2012","Cardinals","98","99","99","95","93","98","100","100","100","101","100","99"
"2012","Padres","92","97","93","105","89","103","103","100","98","97","97","97"
"2012","Giants","93","99","98","108","87","100","100","101","95","98","95","95"
